User_ID,Session_ID,hold_mean,hold_std,hold_median,dd_mean,dd_std,dd_median,ud_mean,ud_std,ud_median,backspace_count,shift_count,long_pause_dd_ratio,long_pause_ud_ratio,typing_speed_cps,backspace_ratio,stress_score,stress_label
Filip24m,1,0.511800412020069,3.258952919722144,0.1338348388671875,0.4529342607215599,4.670884970884708,0.29720830917358393,-0.18709875450653285,3.4558270886427267,0.1112942695617675,22,12,0.1165644171779141,0.024539877300613498,2.2214544731132957,0.13496932515337423,-0.04335932323539781,0
Filip24m,2,0.5128407680258459,2.3141829837413614,0.1460273265838623,0.3946304199522679,3.318394763710706,0.2762219905853271,-0.2333591611902947,2.4653992165595198,0.0913355350494384,5,84,0.10408163265306122,0.018367346938775512,2.5366048835787423,0.00510204081632653,-0.534832098666919,0
Filip24m,3,0.2789920084926498,1.009221095238651,0.1294152736663818,0.29753425166050806,1.4144083492566117,0.2284636497497558,-0.06093844522668886,1.069525129184834,0.0769603252410888,0,64,0.05488621151271754,0.004016064257028112,3.365462890357491,0.0,-1.0893311098925507,0
Filip24m,4,0.3721611448236414,2.402556683649101,0.1256659030914306,0.35262998641827403,3.515929854771682,0.22889029979705805,-0.16435202566858143,2.526519432300246,0.0698516368865966,1,77,0.07351351351351351,0.002162162162162162,2.8389027866019645,0.001081081081081081,-0.841941427539119,0
Julia21k,1,0.8367390054428648,5.105068955094125,0.10858154296875,0.7551509267217046,7.2900698175314815,0.4351458549499511,-0.2577479683010783,5.428952803948516,0.26239442825317383,5,33,0.25748502994011974,0.08982035928143713,1.328215284535616,0.014970059880239521,0.8728703857596662,1
Julia21k,2,0.3788390242009668,1.9691590588172314,0.11063826084136955,0.4800456433697693,2.9247085741231538,0.3100309371948242,-0.028555895503624574,2.0898433917068258,0.1644878387451172,3,80,0.11866359447004608,0.03341013824884793,2.085537940746017,0.0034562211981566822,-0.43060465666276143,0
Konstancja21k,1,0.8487929685475075,10.137714436690779,0.12464082241058345,0.9985006847381592,14.504450761781802,0.5377399921417236,-0.1652543221692668,10.705233735298211,0.3398776054382324,7,75,0.2910958904109589,0.1506849315068493,1.0026461398024888,0.007990867579908675,1.5277774162871371,1
Krystian21m,1,1.296378527266331,20.554334422469342,0.15613353252410883,0.5179081660565933,28.707377562582863,0.2294504642486572,-0.8348569654563892,20.780819050165903,0.0609395503997802,5,180,0.11033099297893681,0.05265797392176529,1.9318130539113496,0.0025075225677031092,0.8490048161953991,1
Krzysiek22m,1,0.21684298652628953,1.6284794349544531,0.10497987270355219,0.49885079338853666,2.8312843000146426,0.3006587028503418,0.1515029264651133,1.745156504095189,0.1417020559310913,14,67,0.09031413612565445,0.03795811518324607,2.0072346867245145,0.01832460732984293,-0.5658065307672279,0
Zenia19k,1,0.7302399836246323,4.554700656047661,0.1005542278289794,0.7279894767689103,6.609414083817828,0.44073581695556635,-0.2048595101334328,4.887656170266475,0.2614678144454956,4,41,0.2431865828092243,0.1069182389937107,1.3765320401255747,0.008385744234800839,0.7912547487807536,0
Zenia19k,2,0.2726112252328454,1.2003250272953836,0.10330355167388916,0.487398716344098,1.9043587084736262,0.3664541244506836,0.11846459327370487,1.2682805111382227,0.24287235736846918,0,69,0.08658536585365853,0.023170731707317073,0.7758239966616091,0.0,-0.5350322202589812,0
